Mason,Paul;Klare, Lichte Zukunft - Eine Radikale Verteidigung des Humanismus;S;R
McLuhan, Marshall & Fiore, Quentin;The Medium Is THe Massage;S;U
McLuhan, Marshall;The Gutenberg Galaxy;S;U
Mihalcea, Vlad;High-Performance Java Persistence;S;U
Mouat, Adrian;Docker;S;U
Nerz, Dominik;Gestürzt - Eine Geschichte aus dem Radsport;S;R
Nestmeyer, Ralf;Die Toten vom Mont Ventoux;R;R
Oehmke, Philipp;Die Toten Hosen - Am Anfang war der Lärm;S;R
Oesterle,Kurt;Der Wunschbruder;R;R
Ogette, Tupoka;exit RACISM;S;R
Orwell,George;Farm der Tiere - Ein Märchen;R;R
Parkinson, C. Northcode;Parkinson's Law and other studies in administration;S;R
Parr, Terence;The Definitive ANTLR Reference;S;R
Puzo,Mario;Der Pate;R;U
Sagan,Peter;Meine Welt;S;R
Salinger,J.D.;Der Fänger im Roggen;R;R
Sammer, Isolde;Die Stille nach dem Schrei;R;R
Schiffmann, Wolfram & Schmitz, Robert;Technische Informatik I;S;R
Schink,Nena;Unfollow - Wie Instagram unser Leben zerstört;S;R
Schramm, Georg;Lassen Sie es mich so sagen…;S;R
Schreiber,Jasmin;Marianengraben;R;R
Schäfer, Frank;Hear 'Em All;S;R
Schäfer,Robert;Tourismus und Authentizität;S;U
Seibel, Peter;Coders At Work - Reflections On The Craft Of Programming;S;R
Sennet, Richard;Zusammen Arbeit;S;R
Shelly,Mary W.;Der letzte Mensch;R;U
Sherwan, Amed & Hoop, Katrine;Kāfir - Allah sei Dank bin ich Atheist;S;R
Sky, Rick;Freddie Mercury - Das Leben des legendären Popstars;S;R
Snowden, Edward;Permanent Record - Meine Geschichte;S;R
Snyder, Timothy;Der Weg in die Unfreiheit - Russland, Europa, Amerika;S;R
Steinbeck, John;Früchte des Zorns;R;R
Stern, Arno & Stern, André;Mein Vater mein Freund - Das Geheimnis glücklicher Söhne;S;R
Taleb, Nassim Nicholas;Der schwarze Schwan - Die Macht höchst unwahrscheinlicher Ereignisse;S;R
tante;connected;S;R
The Oatmeal;5 Very Good Reasons To Punch A Dolphin In The Mouth;C;R
